IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
IPAddress,89.152.20.11,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,93.163.74.91,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,90.63.198.45,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,176.151.50.50,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,47.18.213.41,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,190.141.190.139,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,47.181.12.202,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,216.215.94.46,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,72.207.255.226,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,121.122.99.12,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,85.247.67.210,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,70.174.62.162,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,80.5.130.98,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,2.50.28.157,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,182.75.189.41,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,37.210.195.51,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,176.183.15.149,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,64.229.117.102,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,66.128.172.43,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,95.94.44.23,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,103.219.61.161,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,197.14.174.197,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,86.142.237.226,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,124.149.135.47,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,77.126.186.251,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,74.14.69.105,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,175.138.16.106,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,102.156.234.92,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,70.48.45.207,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,79.167.223.198,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,222.119.56.246,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,49.175.72.183,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,37.189.159.245,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,212.70.107.186,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,151.62.93.95,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,203.206.78.3,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
